"","oa_pvalue","bp3_pvalue","interaction_pvalue"
"SLC39A14",1.13991375419581e-05,0.9353375835157,0.0211541157659656
"tadh",1.59686998555562e-07,5.16321981237378e-05,0.827570654703075
"TF",0.858004910614561,1.98921707956541e-07,1.58455640508316e-06
"FTH1",1.98921707956541e-07,8.2012865859563e-05,1.24519290888678e-06
"2OG-Fe II",0.0160711584412886,0.332345510397847,0.000275858866723875
"TRPA1",4.32769944985448e-09,0.00984480504941941,3.59346834258836e-07
"MYS",1.28347329206535e-05,2.89449185973971e-05,6.8991632317167e-07
"TNR",0.325169878037593,1.28347329206535e-05,0.9353375835157
"SLC8A3",0.000751897973647379,0.123309405341036,0.00360668354589117
"MCT10",0.00416964279691894,0.000152919635954303,0.187450020410763
"MCT3",0.00203247925381347,0.502261373908823,0.000833159785267192
"CYB561",0.00909356622429004,0.0181961954052782,5.15890046368508e-05
"COL1A2",0.00867979454068982,1.04339030902596e-07,1.2839641480141e-07
"COL4A1",2.89449185973971e-05,9.97821572448131e-08,1.56931830627157e-08
"MCT2",0.0225620184115943,0.244059771396194,0.643239501122846
"HSD14",0.000696218245403637,0.944230678442692,0.00454224202920816
"HSD12",7.03788027684075e-07,0.0238796218535637,3.59346834258836e-07
"C3",0.0172361060772315,8.2012865859563e-05,9.97821572448131e-08
"GLUL",0.000456538935714019,0.00554882794007591,0.0836497473028777
"OAT",4.32769944985448e-09,9.97821572448131e-08,1.48478539468831e-06
"Heph",0.00408084086845833,0.00408084086845833,1.68367104701687e-05
"SLC31A2",6.8111266038468e-05,0.974461280938076,8.36934845368101e-09
